boostedAt,closingAt,createdAt,executedAt,executionState,expiresInQueueAt,id,preBoostedAt,proposer,stage,stakesAgainst,stakesFor,totalRepWhenCreated,totalRepWhenExecuted,votesAgainst,votesFor,winningOutcome,dao,queuedVoteRequiredPercentage,network
,1559147503,1559146143,1559147503.0,QueueBarCrossed,1559147943,0x04e421a3fd6a1ac48d491c2b454e60309e7d1bd835992fb7786a7bceace4c412,,0xb1b7586656116d546033e3baff69bfcd6592225e,Executed,100000000000,0,298000000000000000000,298000000000000000000,0,198000000000000000000,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
,1576412682,1576412384,1576412682.0,QueueBarCrossed,1579004384,0x04f2f7b68bfaf2d75d9f90655d4371813869dcf704cc5a1bc9ec13b59a9da3ac,,0x80ad4dbb3ee70dfbb9a7ad7fb923bac2619b6fd2,Executed,150000000000000000000,0,1000051000000000000000000,1000051000000000000000000,0,1000051000000000000000000,Pass,0xcfd897b2a166b27b2544be53764fb77e74b200a3,50,mainnet
1590396985.0,1591001791,1590106010,1591001791.0,BoostedTimeOut,1593994010,0x051c5f54ce418d97c0a82fc946e503c7ecd03afbc49a0215bbba38f5ab093fc9,1590299932.0,0xbaaea72417f4dc3e0f52a1783b0913d0f3516634,Executed,150000000000000000000,200000000000000000000,426827974266884092323646,426827974266884092323646,0,1,Pass,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,50,mainnet
,1570729981,1568137973,1570729981.0,QueueTimeOut,1570729973,0x051d2f0264adb5e9775a34405dc1b602fe6e1ce4238e03699bc435442164c992,,0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98,ExpiredInQueue,450000000000000000000,150000000000000000000,41962112235869901221841,41962112235869901221841,492712366743483484827,316629140075461579688,Fail,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
,1577829851,1577827650,1577829851.0,QueueBarCrossed,1578432450,0x052d2ce7084413a9c5295df2de7a4302125030471488788604787c1ca28641ae,,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,50000000000,0,1627491704019999999374,1627491704019999999374,0,840118704019999999005,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
,1582169095,1579577070,1582169095.0,QueueTimeOut,1582169070,0x0580575c1048f230ee4ae2f8096a214b21d2daaf044026bcf9e1240b060c226b,,0x5db06acd673531218b10430ba6de9b69913ad545,ExpiredInQueue,150000000000000000000,0,100000000000000000000,100000000000000000000,0,0,Fail,0x2b419b3433d563e0f6ef9d944beec057690fc7a0,50,mainnet
,1575301247,1575267092,1575301247.0,QueueBarCrossed,1575871892,0x05b55b3d30c9ad4bfa6878925830da9dc45a3f104c0e7b07b4923074cc2c4938,,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,50000000000,0,1378451704019999999005,1378451704019999999005,0,696363704020000000000,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
,1565129039,1565128919,1565129039.0,QueueBarCrossed,1567720919,0x05b783d8e54dddfd42f579d0f7deb4d034979f9b5323c3732b2683db6a74fa9c,,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,Executed,150000000000000000000,0,100000000000000000000,100000000000000000000,0,100000000000000000000,Pass,0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,50,mainnet
,1566031758,1565992144,1566031758.0,PreBoostedBarCrossed,1566596944,0x05d908901be6d8cefd731e710e7a1209bca8b2bb70ca57502d35defb95cb451e,1566002392.0,0x3e4dfe3dc66ccf4f8f604902e17cb3aa86d09d05,Executed,50000000000,10000000000000000000,753615809000000000000,753615809000000000000,0,492282809000000000000,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
,1580504420,1580329700,1580504420.0,QueueBarCrossed,1582921700,0x0604cfa33e518c5322eeb4de6a8f2d421db07fa69e1e290dac4d0e61dda07124,,0x73a2f4ecace40a587503031966524277c5438970,Executed,150000000000000000000,0,900000000000000000000,900000000000000000000,0,510000000000000000000,Pass,0x61151f7ef32c920794ed89b2545f1672266d6420,50,mainnet
