createdAt,id,memberAddress,molochAddress,uintVote,proposalAddress,network
1601174031,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-40,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-40,mainnet
1590057599,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-8,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-8,mainnet
1590057551,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-9,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-9,mainnet
1592730367,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xdc546f477f273bcf327297bf4adcb671b5f20be1-vote-25,0xdc546f477f273bcf327297bf4adcb671b5f20be1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-25,mainnet
1585710706,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-105,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-105,mainnet
1592363323,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-135,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-135,mainnet
1564085213,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-18,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-18,mainnet
1564510426,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-20,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-20,mainnet
1565115925,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-22,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-22,mainnet
1565115442,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-vote-23,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,0x0372f3696fa7dc99801f435fd6737e57818239f2-proposal-23,mainnet
